ogc_fid,total_businesses,total_apartments,number_of_crimes,total_pop,households,male,female,white,black,ameri_es,asian,hawn_pi,other,multi_race,hispanic,age_below_18,age_18_40,age_40_65,age_65,age_median,tran_total,tran_car,tran_moto,tran_bike,tran_pub,tran_walk,tran_other,tran_home,student,less_10k,10k_14k,15k_19k,20k_24k,25k_29k,30k_34k,35k_39k,40k_44k,45k_49k,50k_59k,60k_74k,75k_99k,100k_124k,125k_149k,150k_199k,120k_more
81,2,0,999,335,144,119,216,236,99,0,0,0,0,0,6,88,117,90,80,28,163,137,0,20,6,0,0,0,47,30,0,16,26,9,0,26,0,0,8,15,8,6,0,0,0
82,2,2,1268,760,397,363,397,540,159,8,0,0,47,6,0,58,246,317,278,47,318,297,0,0,9,0,0,12,107,80,49,34,46,68,0,14,9,30,0,0,19,0,0,41,7
83,2,5,1131,1183,353,478,705,777,265,0,22,0,32,87,233,78,806,251,96,22,590,350,0,26,52,134,28,0,600,61,37,47,13,0,16,17,9,40,86,15,12,0,0,0,0
84,18,14,2734,975,331,755,220,877,67,0,13,0,0,18,174,0,975,0,0,22,480,297,25,118,0,40,0,0,927,44,15,52,109,14,70,14,0,0,0,0,0,13,0,0,0
85,0,26,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,7,444,603,303,410,193,410,52,0,67,0,49,25,94,13,520,56,28,22,192,46,16,64,14,34,18,0,555,132,19,30,42,18,0,34,0,0,28,0,0,0,0,0,0
87,1,6,1449,1420,715,684,736,833,404,0,131,0,0,52,79,30,895,427,136,29,774,602,0,0,50,120,0,2,488,130,182,51,21,103,48,53,30,9,13,42,0,20,0,13,0
88,7,0,935,1971,863,986,985,1704,142,7,63,0,55,0,65,273,603,643,904,46,944,650,39,104,34,0,13,104,498,87,11,0,45,15,38,0,15,100,74,155,111,76,72,25,39
89,6,2,1920,1846,838,909,937,1599,103,10,98,0,19,17,159,346,631,671,396,38,990,825,0,18,40,46,26,35,454,74,66,59,48,12,36,58,19,84,85,84,74,73,22,33,11
90,33,3,2421,2529,955,1328,1201,1052,733,22,630,0,12,80,270,96,2183,233,34,24,1367,602,35,58,445,168,0,59,1598,323,76,128,53,71,65,11,16,31,85,33,41,13,5,4,0
91,0,4,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,5,1101,1053,568,343,710,841,71,0,58,0,29,54,225,17,820,187,58,22,374,218,0,14,37,48,30,27,690,179,104,59,66,15,15,98,0,27,5,0,0,0,0,0,0
93,39,4,4676,699,386,410,289,424,2,0,140,0,0,133,87,17,552,130,0,26,414,201,0,0,34,111,27,41,268,54,67,0,21,18,130,0,21,12,19,0,14,30,0,0,0
94,7,2,1485,2453,1145,937,1516,1995,212,0,184,0,6,56,472,50,1714,411,556,25,1372,1245,0,0,47,49,0,31,1359,338,24,84,0,62,12,74,30,198,84,103,76,15,13,23,9
95,0,0,238,664,337,291,373,604,0,0,32,0,0,28,0,46,115,373,260,53,323,239,0,51,20,0,0,13,93,52,0,0,0,12,32,36,23,0,74,21,34,38,15,0,0
96,1,4,386,971,391,608,363,610,0,41,135,0,0,185,234,51,724,184,24,24,391,315,0,17,45,14,0,0,587,162,13,14,47,44,18,15,30,0,31,17,0,0,0,0,0
97,15,5,4468,3802,1153,1723,2079,2674,866,0,114,0,0,148,186,267,3321,200,28,22,2196,1749,12,0,334,82,0,19,2782,251,105,134,49,188,69,69,75,0,99,70,44,0,0,0,0
98,2,2,3174,2158,924,1238,920,842,1272,0,0,0,0,44,112,559,818,598,366,33,834,745,16,13,60,0,0,0,676,221,64,95,73,77,64,46,96,0,10,58,93,16,0,11,0
99,0,5,332,479,309,246,233,456,0,0,0,0,0,23,62,16,251,198,28,34,358,114,0,108,53,29,0,54,179,59,13,0,35,0,40,0,0,0,41,33,25,28,0,12,23
